序号,机构名称,地址,联系电话,机构类型
1,莱超燃体育,良睦路889号莱茵体育生活馆二楼,13588775387,运动培训
2,小码王少儿AI编程(未来科技城校区),向往街1118号EFC LIVE欧美广场F3层A336,18351420290,少儿编程
3,CinoStar新诺国际少儿英语(美瑭广场店),余杭塘路2499号美瑭广场F1层,,英语培训
4,杭州弈初棋院(国际象棋)未来科技城校区,富力十号朗悦居商铺2-9弈初棋院,18258037113,象棋培训
5,创想童年少儿编程乐高机器人(西溪天虹购物中心店),联胜路6号西嘉广场三楼(联胜路地铁站D口步行170米),13750811501,培训机构
6,艺家画室,西溪北苑东区3-9,13296758132,美术培训
7,佰灵谷,翡翠城甘棠苑商铺2-3,18867507998,英语培训
8,布兰希尔儿童语言培训中心,五常大道荆长路516号5幢201室,0571-87702599,少儿培训
9,棋行方寸间(围棋工作室·少儿围棋培训),联胜路2-3号MG19时尚创新园1号楼302,18742042559,围棋培训
10,VV-art儿童美术工作室,公元里4幢302,16665728662,绘画培训
11,铭琴汇少儿流行工作室,高教路192号1幢233室,13395882295 17300219169,声乐培训
12,码趣机器人编程-五常港路校区,五常港路万科西庐17幢112商铺,13738069864,IT/电脑培训
13,青敬画室(蒙卡岸店),五常大道华元蒙卡岸商铺12幢12号,,美术培训
14,艺启艺术中心(科技城宝龙广场店),仓前街道宝龙广场L2-036,,艺术培训
15,佬外说Engligh,西溪正庐2幢-111室,,英语培训
16,魔力美术教育,同顺街72-6号2楼,,美术教育
17,梦翔艺术培训中心,五常大道168号西溪软件园B座2楼5-15,,艺术培训
18,power超能力少儿运动中心,仓前街道阳光城云蔚轩11-1-202,,运动培训
19,艺萌艺术舞蹈书法培训中心,仓前街道仓兴街391号,,舞蹈书法培训
20,梧桐少儿课后馆,梧桐郡甘棠苑北门2-7商铺,,课后托管
21,柚子音乐中心·成人·少儿声乐钢琴(赛银国际店),赛银国际,,音乐培训
22,龙格亲子游泳俱乐部西溪中心(杭州旗舰店),西溪公元里6幢3楼301室,,亲子游泳
23,仓前街道葛巷社区橙享婴幼儿成长驿站,东莲街971号,,婴幼儿成长
24,仓前街道万和社区果岭婴幼儿成长驿站,新湖果岭怡庭2-1幢二楼,,婴幼儿成长
